Games	% won
1		1.000000
2		1.000000
3		1.000000
4		1.000000
5		0.800000
6		0.833333
7		0.714286
8		0.625000
9		0.666667
10		0.700000
11		0.727273
12		0.750000
13		0.692308
14		0.642857
15		0.666667
16		0.625000
17		0.647059
18		0.666667
19		0.684211
20		0.700000
21		0.666667
22		0.681818
23		0.695652
24		0.708333
25		0.680000
26		0.692308
27		0.703704
28		0.714286
29		0.724138
30		0.733333
31		0.709677
32		0.718750
33		0.727273
34		0.735294
35		0.714286
36		0.722222
37		0.702703
38		0.710526
39		0.692308
40		0.700000
41		0.707317
42		0.714286
43		0.720930
44		0.727273
45		0.711111
46		0.695652
47		0.702128
48		0.708333
49		0.714286
50		0.720000
51		0.725490
52		0.730769
53		0.735849
54		0.740741
55		0.745455
56		0.750000
57		0.754386
58		0.741379
59		0.745763
60		0.750000
61		0.754098
62		0.758065
63		0.761905
64		0.765625
65		0.769231
66		0.772727
67		0.776119
68		0.779412
69		0.782609
70		0.785714
71		0.788732
72		0.791667
73		0.794521
74		0.783784
75		0.786667
76		0.789474
77		0.792208
78		0.794872
79		0.797468
80		0.800000
81		0.802469
82		0.804878
83		0.807229
84		0.809524
85		0.811765
86		0.813953
87		0.816092
88		0.818182
89		0.820225
90		0.811111
91		0.813187
92		0.815217
93		0.817204
94		0.819149
95		0.821053
96		0.822917
97		0.824742
98		0.826531
99		0.828283
100		0.830000
101		0.831683
102		0.833333
103		0.834951
104		0.836538
105		0.828571
106		0.830189
107		0.831776
108		0.833333
109		0.834862
110		0.836364
111		0.837838
112		0.839286
113		0.840708
114		0.842105
115		0.843478
116		0.836207
117		0.837607
118		0.838983
119		0.840336
120		0.841667
121		0.842975
122		0.844262
123		0.845528
124		0.846774
125		0.848000
126		0.849206
127		0.842520
128		0.843750
129		0.844961
130		0.846154
131		0.847328
132		0.848485
133		0.842105
134		0.843284
135		0.844444
136		0.845588
137		0.846715
138		0.847826
139		0.848921
140		0.850000
141		0.851064
142		0.852113
143		0.853147
144		0.854167
145		0.855172
146		0.856164
147		0.857143
148		0.858108
149		0.852349
150		0.853333
151		0.854305
